id_client,age,region,revenu_annuel,anciennete_contrat,nombre_sinistres,montant_total_sinistres,type_contrat,franchise,smoker,participation_prevention,contacts_service_client,probabilite_sinistre,montant_sinistre_estime
121,41,Provence-Alpes-Côte d'Azur,22307,6,2,2790,Tous risques,300,Non,Oui,3,0.05,8442
122,43,Île-de-France,34507,14,0,0,Tous risques,1000,Non,Non,2,0.51,8899
123,42,Provence-Alpes-Côte d'Azur,23929,13,2,13913,Tiers,800,Non,Non,2,0.43,10094
124,77,Auvergne-Rhône-Alpes,49084,7,1,4378,Tiers,500,Non,Non,2,0.54,4853
125,77,Bretagne,24656,11,0,0,Tiers,300,Non,Non,1,0.32,6775
126,77,Île-de-France,39362,12,0,0,Tous risques,1000,Non,Non,4,0.19,11253
127,62,Île-de-France,27758,10,0,0,Tous risques,500,Non,Non,1,0.1,14789
128,58,Nouvelle-Aquitaine,38324,16,1,4984,Tous risques,300,Oui,Oui,1,0.41,997
129,46,Nouvelle-Aquitaine,28712,16,0,0,Tous risques,800,Non,Non,5,0.14,1118
130,32,Bretagne,19913,3,0,0,Tiers,300,Non,Non,1,0.62,6707
131,62,Île-de-France,40805,7,0,0,Tous risques,500,Non,Non,0,0.06,10064
132,18,Bretagne,32175,4,0,0,Tous risques,500,Non,Non,1,0.05,6102
133,42,Nouvelle-Aquitaine,38431,15,1,2756,Tous risques,500,Non,Non,1,0.14,14994
134,24,Nouvelle-Aquitaine,29853,3,2,2950,Tiers,1000,Oui,Non,2,0.13,3332
135,26,Île-de-France,19064,14,1,3926,Tous risques,300,Non,Oui,2,0.38,614
136,41,Provence-Alpes-Côte d'Azur,47998,11,0,0,Tous risques,300,Non,Oui,2,0.44,3256
137,18,Auvergne-Rhône-Alpes,43841,4,0,0,Tous risques,300,Non,Non,0,0.25,13359
138,61,Nouvelle-Aquitaine,28196,15,1,6715,Tous risques,800,Non,Non,0,0.23,2604
139,25,Nouvelle-Aquitaine,35837,13,1,3663,Tous risques,1000,Non,Non,2,0.28,7445
140,41,Provence-Alpes-Côte d'Azur,47504,9,1,2048,Tiers,1000,Non,Non,5,0.25,6579
141,28,Provence-Alpes-Côte d'Azur,29515,6,1,2191,Tiers,800,Oui,Non,4,0.06,10153
142,68,Bretagne,31377,12,0,0,Tiers,1000,Non,Oui,2,0.33,1291
143,34,Bretagne,37923,19,0,0,Tiers,800,Oui,Oui,4,0.03,10051
144,25,Auvergne-Rhône-Alpes,29490,4,0,0,Tous risques,500,Non,Non,2,0.41,5643
145,52,Auvergne-Rhône-Alpes,45285,2,2,5945,Tous risques,500,Non,Oui,2,0.2,13927
146,52,Île-de-France,32973,14,3,14867,Tous risques,1000,Non,Oui,1,0.05,12808
147,50,Bretagne,25591,3,2,5527,Tiers,500,Non,Non,3,0.38,6292
148,76,Nouvelle-Aquitaine,42303,14,1,2294,Tous risques,500,Oui,Oui,2,0.43,14896
149,22,Bretagne,21294,13,0,0,Tiers,500,Oui,Non,2,0.36,1253
150,59,Nouvelle-Aquitaine,59178,19,2,5752,Tiers,300,Oui,Non,3,0.16,11935
151,56,Provence-Alpes-Côte d'Azur,53989,18,2,3270,Tous risques,500,Oui,Non,1,0.3,6790
152,75,Bretagne,41161,12,2,2223,Tous risques,300,Oui,Non,0,0.58,6782
153,58,Provence-Alpes-Côte d'Azur,40151,9,1,5827,Tous risques,800,Non,Non,2,0.41,2966
154,45,Auvergne-Rhône-Alpes,39589,4,0,0,Tiers,800,Non,Oui,1,0.29,7965
155,24,Auvergne-Rhône-Alpes,29130,19,0,0,Tous risques,800,Non,Oui,4,0.4,1728
156,26,Île-de-France,38567,19,0,0,Tiers,800,Non,Non,4,0.01,9440
157,25,Bretagne,23922,5,0,0,Tiers,800,Non,Oui,1,0.12,4003
158,29,Provence-Alpes-Côte d'Azur,41045,3,0,0,Tous risques,500,Non,Oui,3,0.05,11010
159,51,Nouvelle-Aquitaine,45414,1,1,1870,Tiers,500,Non,Non,2,0.61,9306
160,50,Auvergne-Rhône-Alpes,30462,15,1,5420,Tiers,500,Non,Non,2,0.4,11322
161,65,Auvergne-Rhône-Alpes,27858,17,2,9216,Tous risques,800,Non,Non,1,0.18,11371
162,72,Nouvelle-Aquitaine,20450,4,3,14798,Tous risques,800,Non,Oui,1,0.37,3352
163,40,Provence-Alpes-Côte d'Azur,52495,3,2,2104,Tous risques,300,Oui,Non,2,0.32,509
164,79,Provence-Alpes-Côte d'Azur,28812,12,0,0,Tous risques,1000,Non,Non,1,0.1,5803
165,41,Bretagne,32615,18,2,2795,Tiers,500,Oui,Oui,2,0.35,13826
166,54,Bretagne,38601,1,0,0,Tiers,1000,Oui,Oui,3,0.17,8879
167,52,Île-de-France,38386,12,2,6832,Tiers,800,Oui,Non,2,0.22,11048
168,61,Auvergne-Rhône-Alpes,43958,10,1,1008,Tous risques,800,Non,Non,1,0.16,13253
169,57,Bretagne,30448,3,2,7965,Tous risques,800,Non,Non,2,0.3,13637
170,39,Provence-Alpes-Côte d'Azur,21335,19,2,11033,Tous risques,1000,Non,Oui,3,0.14,8170
171,44,Nouvelle-Aquitaine,19236,19,0,0,Tous risques,300,Non,Non,1,0.06,8343
172,52,Provence-Alpes-Côte d'Azur,28048,14,1,6276,Tiers,800,Non,Non,2,0.32,12838
173,18,Auvergne-Rhône-Alpes,23577,3,0,0,Tous risques,300,Non,Oui,0,0.34,12208
174,52,Provence-Alpes-Côte d'Azur,31356,8,1,4783,Tiers,300,Non,Oui,3,0.16,10633
175,54,Île-de-France,50690,6,1,1477,Tous risques,500,Non,Oui,1,0.55,9264
176,64,Auvergne-Rhône-Alpes,30472,18,2,7856,Tous risques,1000,Non,Non,3,0.54,9449
177,31,Nouvelle-Aquitaine,30468,18,1,1928,Tous risques,800,Non,Non,3,0.03,5762
178,20,Île-de-France,34803,5,3,9653,Tous risques,300,Non,Non,2,0.54,12693
179,18,Auvergne-Rhône-Alpes,30132,5,1,2975,Tous risques,1000,Non,Non,1,0.35,9457
180,22,Nouvelle-Aquitaine,34191,19,1,3541,Tiers,1000,Non,Non,2,0.36,3741
181,43,Île-de-France,41490,14,1,4429,Tiers,800,Non,Non,2,0.14,3977
182,72,Île-de-France,45617,14,1,6417,Tous risques,500,Oui,Oui,3,0.21,12993
183,31,Auvergne-Rhône-Alpes,47038,19,1,3366,Tiers,500,Non,Non,4,0.23,9572
184,56,Bretagne,59682,8,0,0,Tous risques,300,Oui,Non,2,0.13,6281
185,44,Île-de-France,41832,3,3,16662,Tous risques,500,Non,Oui,0,0.48,3212
186,26,Île-de-France,61813,17,0,0,Tous risques,500,Non,Non,4,0.22,9348
187,32,Nouvelle-Aquitaine,25682,17,2,9728,Tous risques,500,Non,Oui,5,0.36,3172
188,32,Provence-Alpes-Côte d'Azur,60095,4,5,8066,Tiers,1000,Non,Non,5,0.41,7317
189,43,Auvergne-Rhône-Alpes,30435,19,0,0,Tous risques,800,Non,Non,2,0.14,10323
190,59,Auvergne-Rhône-Alpes,31615,10,2,8988,Tous risques,1000,Non,Non,1,0.14,8698
191,77,Bretagne,33561,4,1,6916,Tous risques,1000,Non,Non,3,0.23,13870
192,30,Bretagne,32376,3,1,4818,Tiers,800,Oui,Non,1,0.28,1075
193,68,Auvergne-Rhône-Alpes,36030,11,0,0,Tous risques,1000,Non,Oui,2,0.18,4557
194,49,Bretagne,28039,1,2,11597,Tiers,300,Non,Oui,3,0.25,1327
195,56,Nouvelle-Aquitaine,44959,12,2,6145,Tous risques,300,Non,Non,2,0.3,3321
196,66,Auvergne-Rhône-Alpes,28365,9,0,0,Tiers,1000,Non,Oui,2,0.01,2297
197,69,Bretagne,42867,8,1,3582,Tous risques,500,Non,Oui,3,0.31,11123
198,78,Auvergne-Rhône-Alpes,53332,9,1,3803,Tous risques,1000,Oui,Non,3,0.25,5855
199,49,Provence-Alpes-Côte d'Azur,30714,6,1,2440,Tiers,500,Non,Oui,3,0.44,13913
200,21,Île-de-France,44532,3,1,6367,Tiers,1000,Oui,Non,1,0.21,838
201,47,Auvergne-Rhône-Alpes,41709,18,0,0,Tous risques,300,Non,Non,2,0.23,9967
202,54,Île-de-France,62034,9,1,6870,Tiers,500,Non,Non,2,0.31,14572
203,40,Bretagne,28942,2,1,5860,Tous risques,300,Non,Non,4,0.32,3049
204,56,Île-de-France,44540,18,1,4334,Tous risques,1000,Oui,Oui,2,0.42,6915
205,62,Auvergne-Rhône-Alpes,15487,1,1,6682,Tous risques,800,Non,Non,1,0.29,10677
206,32,Provence-Alpes-Côte d'Azur,29049,19,0,0,Tous risques,500,Non,Oui,2,0.2,9680
207,60,Bretagne,39240,9,2,12645,Tiers,500,Non,Oui,4,0.15,8707
208,46,Auvergne-Rhône-Alpes,51717,1,1,3148,Tiers,1000,Non,Non,2,0.18,5237
209,53,Bretagne,20288,1,1,3271,Tiers,1000,Non,Oui,3,0.42,11058
210,30,Nouvelle-Aquitaine,44433,16,2,7017,Tous risques,500,Oui,Non,2,0.29,9972
211,49,Île-de-France,34241,15,0,0,Tous risques,800,Non,Non,0,0.06,2860
212,24,Nouvelle-Aquitaine,16741,15,2,8641,Tiers,1000,Oui,Non,1,0.42,14479
213,76,Auvergne-Rhône-Alpes,37179,13,0,0,Tiers,1000,Non,Non,2,0.15,8557
214,68,Provence-Alpes-Côte d'Azur,55509,6,1,2836,Tous risques,1000,Non,Oui,0,0.53,8119
215,39,Bretagne,21554,10,2,13126,Tous risques,800,Non,Non,0,0.39,12799
216,45,Île-de-France,33680,0,2,9063,Tous risques,500,Oui,Oui,2,0.18,9785
217,19,Bretagne,23160,10,2,6892,Tous risques,300,Non,Non,2,0.45,1579
218,59,Auvergne-Rhône-Alpes,29377,3,1,4907,Tous risques,1000,Non,Oui,1,0.23,7845
219,62,Bretagne,52186,6,2,11215,Tiers,800,Non,Oui,0,0.38,11818
220,79,Île-de-France,31741,14,3,20293,Tous risques,500,Non,Non,2,0.58,10649
221,74,Auvergne-Rhône-Alpes,51818,17,1,3997,Tous risques,500,Non,Non,3,0.4,14576
222,70,Bretagne,48308,11,2,3345,Tous risques,800,Non,Non,0,0.42,861
223,23,Provence-Alpes-Côte d'Azur,30647,16,1,3644,Tous risques,1000,Oui,Non,2,0.4,4287
224,45,Auvergne-Rhône-Alpes,28968,0,4,15495,Tiers,300,Oui,Non,0,0.34,8462
225,45,Auvergne-Rhône-Alpes,24248,10,0,0,Tiers,1000,Non,Non,0,0.18,9482
226,61,Provence-Alpes-Côte d'Azur,23829,0,1,3368,Tous risques,500,Non,Non,3,0.32,4478
227,61,Nouvelle-Aquitaine,39238,14,0,0,Tiers,300,Oui,Oui,2,0.27,12488
228,37,Île-de-France,34762,9,0,0,Tous risques,1000,Oui,Non,3,0.5,2883
229,47,Nouvelle-Aquitaine,27516,6,3,20528,Tous risques,300,Non,Non,2,0.21,512
230,79,Bretagne,16414,1,0,0,Tous risques,800,Non,Oui,1,0.24,14309
231,28,Provence-Alpes-Côte d'Azur,36274,9,3,19178,Tous risques,1000,Non,Oui,2,0.33,6177
232,75,Nouvelle-Aquitaine,29365,3,0,0,Tous risques,500,Non,Oui,1,0.17,14383
233,72,Auvergne-Rhône-Alpes,32656,11,0,0,Tiers,500,Oui,Non,3,0.46,4530
234,45,Bretagne,38655,18,3,3235,Tous risques,300,Oui,Non,2,0.3,1420
235,42,Bretagne,4978,10,2,4060,Tous risques,800,Non,Non,2,0.09,11701
236,56,Nouvelle-Aquitaine,16600,7,2,9845,Tous risques,1000,Non,Non,3,0.59,12619
237,79,Nouvelle-Aquitaine,62557,17,5,5764,Tous risques,800,Non,Non,1,0.1,7635
238,50,Provence-Alpes-Côte d'Azur,28920,10,1,1381,Tous risques,800,Non,Oui,2,0.19,1570
239,18,Île-de-France,4790,10,1,2326,Tiers,300,Non,Oui,2,0.19,9984
240,74,Nouvelle-Aquitaine,17600,12,0,0,Tiers,300,Non,Non,2,0.12,3141
241,44,Nouvelle-Aquitaine,64813,2,0,0,Tous risques,1000,Non,Non,0,0.16,12816
242,79,Auvergne-Rhône-Alpes,26564,11,0,0,Tous risques,500,Non,Non,1,0.13,4473
243,74,Bretagne,48908,2,4,8088,Tous risques,1000,Non,Non,2,0.05,12791
244,69,Île-de-France,36453,9,2,7996,Tous risques,800,Non,Non,1,0.42,6690
245,30,Auvergne-Rhône-Alpes,29180,16,0,0,Tous risques,300,Non,Non,2,0.09,9149
246,58,Provence-Alpes-Côte d'Azur,44305,1,2,3780,Tous risques,800,Non,Oui,1,0.31,11948
247,20,Provence-Alpes-Côte d'Azur,6387,16,1,3393,Tous risques,300,Non,Non,1,0.21,1086
248,56,Nouvelle-Aquitaine,17706,15,0,0,Tous risques,500,Non,Oui,2,0.28,12406
249,23,Nouvelle-Aquitaine,29091,1,1,6993,Tous risques,800,Oui,Non,0,0.15,2510
250,25,Provence-Alpes-Côte d'Azur,18885,19,2,13846,Tous risques,300,Oui,Oui,2,0.2,5697
251,44,Nouvelle-Aquitaine,28030,5,2,12580,Tiers,1000,Non,Non,4,0.05,7355
252,26,Île-de-France,45244,9,4,13471,Tous risques,1000,Oui,Non,0,0.19,13483
253,79,Nouvelle-Aquitaine,36585,9,2,10238,Tiers,1000,Non,Non,1,0.22,825
254,54,Bretagne,50967,7,0,0,Tiers,800,Non,Non,1,0.44,8608
255,50,Nouvelle-Aquitaine,37344,0,1,4891,Tiers,300,Non,Non,2,0.05,9816
256,68,Auvergne-Rhône-Alpes,46909,12,0,0,Tiers,300,Non,Oui,1,0.47,5090
257,59,Île-de-France,34231,8,2,9274,Tous risques,300,Non,Non,1,0.49,4712
258,61,Auvergne-Rhône-Alpes,27916,9,3,12427,Tiers,800,Non,Non,1,0.2,7611
259,41,Auvergne-Rhône-Alpes,52766,14,4,4587,Tiers,300,Oui,Oui,1,0.13,3212
260,32,Bretagne,26487,4,0,0,Tous risques,500,Non,Non,4,0.19,7287
261,76,Île-de-France,39126,15,1,1071,Tous risques,800,Oui,Non,1,0.34,11592
262,71,Île-de-France,44226,12,2,5517,Tiers,500,Non,Non,2,0.03,12758
263,49,Île-de-France,45097,19,1,1035,Tous risques,500,Oui,Non,2,0.12,6084
264,49,Île-de-France,21014,17,1,3257,Tous risques,1000,Non,Oui,1,0.33,9450
265,41,Île-de-France,47623,10,1,1378,Tous risques,800,Non,Non,2,0.44,500
266,58,Bretagne,23252,8,0,0,Tous risques,300,Oui,Non,1,0.12,8480
267,69,Nouvelle-Aquitaine,44728,15,3,10482,Tiers,500,Non,Oui,3,0.32,14640
268,66,Auvergne-Rhône-Alpes,41422,1,1,3756,Tous risques,800,Non,Non,3,0.35,5027
269,79,Île-de-France,44823,1,0,0,Tous risques,300,Non,Non,2,0.52,9124
270,66,Nouvelle-Aquitaine,20539,11,1,4765,Tiers,1000,Non,Oui,1,0.3,11553
271,75,Nouvelle-Aquitaine,42055,7,1,5706,Tous risques,800,Non,Oui,3,0.07,9329
272,69,Auvergne-Rhône-Alpes,48027,8,2,9777,Tous risques,800,Non,Non,6,0.19,6568
273,29,Bretagne,37320,11,1,5489,Tous risques,800,Non,Oui,2,0.35,2712
274,79,Provence-Alpes-Côte d'Azur,25176,8,1,6435,Tous risques,300,Non,Non,1,0.19,7223
275,56,Provence-Alpes-Côte d'Azur,46036,9,2,12362,Tous risques,500,Oui,Non,3,0.23,4774
276,19,Nouvelle-Aquitaine,36367,1,0,0,Tous risques,500,Non,Non,2,0.26,10590
277,20,Auvergne-Rhône-Alpes,14906,15,1,2287,Tous risques,800,Non,Non,1,0.09,6907
278,66,Provence-Alpes-Côte d'Azur,24245,19,2,9652,Tous risques,800,Non,Non,2,0.33,12823
279,54,Nouvelle-Aquitaine,28684,6,4,16145,Tous risques,300,Non,Non,1,0.13,3303
280,66,Bretagne,53069,1,0,0,Tous risques,1000,Non,Non,2,0.22,6556
